chapter_id,chapter,topic_id,topic,type,text,text_en,choice_a,choice_b,choice_c,choice_d,answer,person_name,person_role
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,summary,Topik ini menerangkan pengertian sejarah sebagai kajian tentang masa lalu dan bagaimana peristiwa lama membentuk masyarakat hari ini.,This topic explains the meaning of history as the study of the past and how past events shape society today.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,fact,"Sejarah ialah kajian tentang peristiwa, manusia, dan keadaan pada masa lalu.","History is the study of events, people, and conditions in the past.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,fact,Sejarah membantu menjelaskan bagaimana masyarakat berubah dari masa ke masa.,History helps explain how societies change over time.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,fact,Pengertian sejarah boleh berbeza tetapi biasanya berkaitan dengan bukti dan interpretasi masa lalu.,The meaning of history can vary but usually relates to evidence and interpretation of the past.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,fact,Sejarah melibatkan kajian masa silam untuk memahami masa kini dan masa depan.,History involves studying the past to understand the present and the future.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,fact,"Kajian sejarah memerlukan sumber seperti dokumen, artifak, dan cerita lisan.","Historical study requires sources such as documents, artifacts, and oral stories.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,fact,"Perkataan sejarah berasal daripada perkataan Arab 'syajaratun' yang bermaksud pokok, melambangkan salasilah dan asal usul.","The word 'sejarah' comes from the Arabic 'syajaratun', meaning tree, symbolising genealogy and origins.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,fact,"Dalam bahasa Yunani, 'historia' bermaksud penyelidikan atau pencarian maklumat tentang sesuatu peristiwa.","In Greek, 'historia' means inquiry or the search for information about an event.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,person,Beliau mentakrifkan sejarah sebagai catatan atau rekod tentang sesuatu peristiwa yang berlaku pada masa lalu dan melibatkan manusia serta masyarakatnya. Takrifan beliau banyak dirujuk dalam penulisan sejarah tempatan.,He defined history as a record of past events involving human beings and their societies. His definition is widely cited in Malaysian historical writing.,,,,,,Muhd. Yusof Ibrahim,Sejarawan Malaysia
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,multiple_choice,Perkataan 'sejarah' berasal daripada perkataan Arab yang membawa maksud apa? / The word 'sejarah' comes from an Arabic word meaning what?,,Pokok / Tree,Sungai / River,Batu / Stone,Bintang / Star,Pokok / Tree,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,multiple_choice,Apakah maksud sejarah? / What is the meaning of history?,,Kajian tentang peristiwa masa lalu yang berasaskan bukti / The study of past events based on evidence,Ramalan tentang peristiwa masa hadapan / Predictions about future events,Kajian tentang bentuk muka bumi / The study of landforms,Cerita rekaan tentang manusia purba / Fictional stories about early humans,Kajian tentang peristiwa masa lalu yang berasaskan bukti / The study of past events based on evidence,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,multiple_choice,Perkataan 'historia' dalam bahasa Yunani membawa maksud / The Greek word 'historia' means,,Penyelidikan atau pencarian maklumat / Inquiry or the search for information,Tulisan indah / Beautiful writing,Peperangan besar / A great war,Perjalanan jauh / A long journey,Penyelidikan atau pencarian maklumat / Inquiry or the search for information,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,multiple_choice,Mengapakah sejarah penting kepada sesebuah negara? / Why is history important to a nation?,,Untuk memupuk semangat patriotik dan jati diri bangsa / To nurture patriotism and national identity,Untuk meningkatkan hasil pertanian / To increase agricultural yields,Untuk menentukan cuaca setiap hari / To determine the daily weather,Untuk mengira jumlah penduduk semasa / To count the current population,Untuk memupuk semangat patriotik dan jati diri bangsa / To nurture patriotism and national identity,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,multiple_choice,"Antara berikut, yang manakah BUKAN ciri sesuatu yang boleh dianggap sejarah? / Which of the following is NOT a feature of something that can be regarded as history?",,Peristiwa itu direka tanpa sebarang bukti / The event is invented without any evidence,Peristiwa itu benar-benar berlaku / The event actually happened,Peristiwa itu penting dan memberi kesan / The event is significant and has an impact,Peristiwa itu boleh dibuktikan dengan sumber / The event can be proven with sources,Peristiwa itu direka tanpa sebarang bukti / The event is invented without any evidence,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,objective,Jelaskan satu sebab mengapa sejarah penting bagi generasi muda. / Explain one reason why history is important for young people.,,,,,,Sejarah membantu generasi muda belajar daripada kesilapan lalu dan membuat keputusan yang lebih baik untuk masa depan. / History helps young people learn from past mistakes and make better decisions for the future.,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,objective,Nyatakan asal usul perkataan 'sejarah' dan maksudnya. / State the origin of the word 'sejarah' and its meaning.,,,,,,"Perkataan sejarah berasal daripada perkataan Arab 'syajaratun' yang bermaksud pokok, melambangkan salasilah keturunan yang berkembang seperti dahan pokok. / The word comes from the Arabic 'syajaratun', meaning tree, symbolising a family lineage that branches out like a tree.",,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,objective,Berikan dua ciri sesuatu peristiwa yang boleh diterima sebagai sejarah. / Give two features of an event that can be accepted as history.,,,,,,"Peristiwa itu benar-benar berlaku dan boleh dibuktikan dengan sumber, serta penting kerana memberi kesan kepada masyarakat. / The event genuinely occurred and can be proven with sources, and it is significant because it affects society.",,
