chapter_id,chapter,topic_id,topic,type,text,text_en,choice_a,choice_b,choice_c,choice_d,answer,person_name,person_role
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,summary,Topik ini menerangkan pengertian sejarah sebagai kajian tentang masa lalu dan bagaimana peristiwa lama membentuk masyarakat hari ini.,This topic explains the meaning of history as the study of the past and how past events shape society today.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,fact,"Sejarah ialah kajian tentang peristiwa, manusia, dan keadaan pada masa lalu.","History is the study of events, people, and conditions in the past.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,fact,Sejarah membantu menjelaskan bagaimana masyarakat berubah dari masa ke masa.,History helps explain how societies change over time.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,fact,Pengertian sejarah boleh berbeza tetapi biasanya berkaitan dengan bukti dan interpretasi masa lalu.,The meaning of history can vary but usually relates to evidence and interpretation of the past.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,fact,Sejarah melibatkan kajian masa silam untuk memahami masa kini dan masa depan.,History involves studying the past to understand the present and the future.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,fact,"Kajian sejarah memerlukan sumber seperti dokumen, artifak, dan cerita lisan.","Historical study requires sources such as documents, artifacts, and oral stories.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,multiple_choice,Apakah maksud sejarah? / What is the meaning of history?,,Kajian tentang masa lalu dan peristiwa penting. / Study of the past and important events.,Kajian tentang masa depan. / Study of the future.,Kajian tentang sains sahaja. / Study of science only.,Kajian tentang muzik sahaja. / Study of music only.,Kajian tentang masa lalu dan peristiwa penting. / Study of the past and important events.,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,multiple_choice,Mengapakah sejarah penting? / Why is history important?,,Untuk memahami perubahan masyarakat dan identiti bangsa. / To understand social change and national identity.,Untuk menonton filem. / To watch movies.,Untuk bermain permainan video. / To play video games.,Untuk memasak makanan. / To cook food.,Untuk memahami perubahan masyarakat dan identiti bangsa. / To understand social change and national identity.,,
bab1,Bab 1: Mengenali Sejarah,1-1-pengertian-sejarah,1.1 Pengertian Sejarah,objective,Jelaskan satu sebab mengapa sejarah penting bagi generasi muda. / Explain one reason why history is important for young people.,,,,,,Sejarah membantu generasi muda belajar daripada kesilapan lalu dan membuat keputusan yang lebih baik untuk masa depan. / History helps young people learn from past mistakes and make better decisions for the future.,,
bab1,Bab 1: Mengenali Sejarah,1-2-pengertian-sejarah-sejarawan,1.2 Pengertian Sejarah Mengikut Pandangan Sejarawan,summary,"Topik ini menerangkan bahawa sejarawan memberikan definisi sejarah berdasarkan penemuan bukti, tafsiran, dan perspektif masa lalu.","This topic explains that historians define history based on evidence, interpretation, and past perspectives.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-2-pengertian-sejarah-sejarawan,1.2 Pengertian Sejarah Mengikut Pandangan Sejarawan,fact,"Sejarawan mengkaji dokumen, catatan, dan bukti lain untuk membina pemahaman tentang masa lalu.","Historians study documents, records, and other evidence to build an understanding of the past.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-2-pengertian-sejarah-sejarawan,1.2 Pengertian Sejarah Mengikut Pandangan Sejarawan,fact,"Sejarawan sering menemui dokumen lama, catatan rasmi dan artifak yang membuka maklumat baharu tentang kehidupan masyarakat dahulu.","Historians often discover old documents, official records, and artifacts that reveal new information about past societies.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-2-pengertian-sejarah-sejarawan,1.2 Pengertian Sejarah Mengikut Pandangan Sejarawan,fact,"Penemuan catatan sejarah seperti surat, prasasti atau laporan rasmi membantu ahli sejarah membina semula peristiwa dengan lebih tepat.","Findings such as letters, inscriptions, or official reports help historians reconstruct events more accurately.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-2-pengertian-sejarah-sejarawan,1.2 Pengertian Sejarah Mengikut Pandangan Sejarawan,fact,Pendekatan sejarawan membantu menjelaskan bagaimana peristiwa dan manusia dikaji secara sistematik.,A historian's approach helps explain how events and people are studied systematically.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-2-pengertian-sejarah-sejarawan,1.2 Pengertian Sejarah Mengikut Pandangan Sejarawan,fact,"Sejarah bukan sekadar cerita, tetapi satu proses analisis bukti untuk membuat kesimpulan.","History is not just stories, but a process of analyzing evidence to draw conclusions.",,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-2-pengertian-sejarah-sejarawan,1.2 Pengertian Sejarah Mengikut Pandangan Sejarawan,fact,Ahli sejarah menggunakan sumber primer dan sekunder untuk memahami konteks peristiwa.,Historians use primary and secondary sources to understand the context of events.,,,,,,,
bab1,Bab 1: Mengenali Sejarah,1-2-pengertian-sejarah-sejarawan,1.2 Pengertian Sejarah Mengikut Pandangan Sejarawan,person,"Dikenali sebagai bapa sejarah moden kerana konsep 'ilm al-umran' dan analisis sosiologi sejarah, serta meneliti pola perubahan masyarakat.","Known as the father of modern history for his 'ilm al-umran' concept and sociological analysis of history, as well as studying patterns of social change.",,,,,,Ibn Khaldun,Sejarawan dan ahli falsafah
bab1,Bab 1: Mengenali Sejarah,1-2-pengertian-sejarah-sejarawan,1.2 Pengertian Sejarah Mengikut Pandangan Sejarawan,multiple_choice,Apakah yang digunakan sejarawan untuk mengkaji sejarah? / What do historians use to study history?,,"Dokumen, artifak, dan sumber lisan. / Documents, artifacts, and oral sources.",Hanya gambar moden. / Only modern pictures.,Hanya filem. / Only movies.,Hanya lagu. / Only songs.,"Dokumen, artifak, dan sumber lisan. / Documents, artifacts, and oral sources.",,
