chapter_id,chapter,topic_id,topic,type,text,text_en,choice_a,choice_b,choice_c,choice_d,answer,person_name,person_role
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-1-sains-kehidupan,1.1 Sains adalah Sebahagian daripada Kehidupan Harian,summary,Sains ialah kajian sistematik tentang alam untuk menerangkan fenomena dan menyelesaikan masalah harian.,Science is the systematic study of the natural world to explain phenomena and solve everyday problems.,,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-1-sains-kehidupan,1.1 Sains adalah Sebahagian daripada Kehidupan Harian,fact,"Aplikasi sains termasuk perubatan, komunikasi, pengangkutan dan pemeliharaan alam sekitar.","Applications of science include medicine, communication, transport and environmental conservation.",,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-1-sains-kehidupan,1.1 Sains adalah Sebahagian daripada Kehidupan Harian,fact,"Sains menggunakan pemerhatian, bukti dan pemikiran logik.","Science uses observation, evidence and logical thinking.",,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-1-sains-kehidupan,1.1 Sains adalah Sebahagian daripada Kehidupan Harian,person,Perintis kaedah eksperimen dan optik.,Pioneer of experimental methods and optics.,,,,,,Ibn al-Haytham,Saintis / Scientist
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-1-sains-kehidupan,1.1 Sains adalah Sebahagian daripada Kehidupan Harian,multiple_choice,Yang manakah aplikasi sains dalam kehidupan? / Which is an application of science in life?,,Merawat penyakit / Treating disease,Meneka tanpa bukti / Guessing without evidence,Membuang sisa ke sungai / Dumping waste into a river,Mengabaikan keselamatan / Ignoring safety,Merawat penyakit / Treating disease,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-1-sains-kehidupan,1.1 Sains adalah Sebahagian daripada Kehidupan Harian,objective,Nyatakan dua bidang yang menggunakan sains. / State two fields that use science.,,,,,,Contoh: perubatan dan pengangkutan. / Examples: medicine and transport.,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-2-makmal-sains,1.2 Makmal Sains Anda,summary,Makmal sains ialah tempat menjalankan eksperimen dengan selamat dan teratur.,A science laboratory is a place for conducting experiments safely and systematically.,,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-2-makmal-sains,1.2 Makmal Sains Anda,fact,Pakai alat perlindungan diri seperti cermin mata keselamatan apabila perlu.,Wear personal protective equipment such as safety goggles when needed.,,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-2-makmal-sains,1.2 Makmal Sains Anda,fact,"Jangan makan, minum atau bergurau di dalam makmal.","Do not eat, drink or play around in the laboratory.",,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-2-makmal-sains,1.2 Makmal Sains Anda,person,Perintis kaedah eksperimen dan optik.,Pioneer of experimental methods and optics.,,,,,,Ibn al-Haytham,Saintis / Scientist
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-2-makmal-sains,1.2 Makmal Sains Anda,multiple_choice,Apakah tindakan yang betul di makmal? / What is the correct laboratory action?,,Memakai cermin mata keselamatan / Wearing safety goggles,Merasa bahan kimia / Tasting chemicals,Berlari antara meja / Running between benches,Memipet dengan mulut / Pipetting by mouth,Memakai cermin mata keselamatan / Wearing safety goggles,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-2-makmal-sains,1.2 Makmal Sains Anda,objective,Apakah yang perlu dilakukan jika bahan kimia tertumpah? / What should be done if a chemical spills?,,,,,,Maklumkan guru segera dan ikut arahan keselamatan. / Inform the teacher immediately and follow safety instructions.,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-3-kuantiti-fizik,1.3 Kuantiti Fizik dan Unitnya,summary,Kuantiti fizik ialah sifat yang boleh diukur dan dinyatakan dengan nombor serta unit.,A physical quantity is a property that can be measured and expressed with a number and a unit.,,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-3-kuantiti-fizik,1.3 Kuantiti Fizik dan Unitnya,fact,"Unit SI bagi panjang ialah meter (m), jisim ialah kilogram (kg) dan masa ialah saat (s).","SI units for length, mass and time are metre (m), kilogram (kg) and second (s).",,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-3-kuantiti-fizik,1.3 Kuantiti Fizik dan Unitnya,fact,Suhu lazimnya diukur dalam darjah Celsius (°C) di makmal sekolah.,Temperature is commonly measured in degrees Celsius (°C) in school laboratories.,,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-3-kuantiti-fizik,1.3 Kuantiti Fizik dan Unitnya,person,Perintis kaedah eksperimen dan optik.,Pioneer of experimental methods and optics.,,,,,,Ibn al-Haytham,Saintis / Scientist
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-3-kuantiti-fizik,1.3 Kuantiti Fizik dan Unitnya,multiple_choice,Apakah unit SI bagi jisim? / What is the SI unit for mass?,,kilogram (kg),meter (m),saat (s) / second (s),liter (L),kilogram (kg),,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-3-kuantiti-fizik,1.3 Kuantiti Fizik dan Unitnya,objective,Nyatakan kuantiti fizik bagi unit meter. / State the physical quantity with unit metre.,,,,,,Panjang / Length.,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-4-pengukuran,"1.4 Penggunaan Alat Pengukur, Kejituan, Kepersisan, Kepekaan dan Ralat",summary,"Alat pengukur dipilih mengikut kuantiti, julat dan kepekaan yang diperlukan.","Measuring instruments are chosen according to the required quantity, range and sensitivity.",,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-4-pengukuran,"1.4 Penggunaan Alat Pengukur, Kejituan, Kepersisan, Kepekaan dan Ralat",fact,Kejituan ialah hampirnya bacaan kepada nilai sebenar; kepersisan ialah hampirnya bacaan berulang antara satu sama lain.,Accuracy is closeness to the true value; precision is closeness among repeated readings.,,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-4-pengukuran,"1.4 Penggunaan Alat Pengukur, Kejituan, Kepersisan, Kepekaan dan Ralat",fact,Ralat paralaks berlaku apabila mata tidak tegak dengan skala bacaan.,Parallax error occurs when the eye is not perpendicular to the scale.,,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-4-pengukuran,"1.4 Penggunaan Alat Pengukur, Kejituan, Kepersisan, Kepekaan dan Ralat",person,Perintis kaedah eksperimen dan optik.,Pioneer of experimental methods and optics.,,,,,,Ibn al-Haytham,Saintis / Scientist
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-4-pengukuran,"1.4 Penggunaan Alat Pengukur, Kejituan, Kepersisan, Kepekaan dan Ralat",multiple_choice,Bagaimanakah ralat paralaks dapat dikurangkan? / How can parallax error be reduced?,,Baca skala pada aras mata / Read the scale at eye level,Gunakan anggaran sahaja / Use estimates only,Pegang pembaris senget / Hold the ruler slanting,Ambil satu bacaan sahaja / Take only one reading,Baca skala pada aras mata / Read the scale at eye level,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-4-pengukuran,"1.4 Penggunaan Alat Pengukur, Kejituan, Kepersisan, Kepekaan dan Ralat",objective,Bezakan kejituan dan kepersisan. / Distinguish accuracy and precision.,,,,,,Kejituan dekat dengan nilai sebenar; kepersisan ialah bacaan berulang yang hampir sama. / Accuracy is close to the true value; precision is repeat readings that are close together.,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-5-ketumpatan,1.5 Ketumpatan,summary,Ketumpatan ialah jisim per unit isi padu: ketumpatan = jisim ÷ isi padu.,Density is mass per unit volume: density = mass ÷ volume.,,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-5-ketumpatan,1.5 Ketumpatan,fact,Unit SI ketumpatan ialah kg m⁻³; g cm⁻³ juga biasa digunakan.,The SI unit of density is kg m⁻³; g cm⁻³ is also commonly used.,,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-5-ketumpatan,1.5 Ketumpatan,fact,Objek terapung dalam cecair jika ketumpatannya lebih rendah daripada ketumpatan cecair itu.,An object floats in a liquid if its density is lower than that of the liquid.,,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-5-ketumpatan,1.5 Ketumpatan,person,Perintis kaedah eksperimen dan optik.,Pioneer of experimental methods and optics.,,,,,,Ibn al-Haytham,Saintis / Scientist
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-5-ketumpatan,1.5 Ketumpatan,multiple_choice,Sebuah objek berjisim 20 g dan berisi padu 10 cm³. Berapakah ketumpatannya? / An object has mass 20 g and volume 10 cm³. What is its density?,,2 g cm⁻³,0.5 g cm⁻³,10 g cm⁻³,200 g cm⁻³,2 g cm⁻³,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-5-ketumpatan,1.5 Ketumpatan,objective,Tulis formula ketumpatan. / Write the density formula.,,,,,,Ketumpatan = jisim ÷ isi padu. / Density = mass ÷ volume.,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-6-penyiasatan,1.6 Langkah-langkah dalam Penyiasatan Saintifik,summary,"Penyiasatan saintifik bermula dengan mengenal pasti masalah dan diikuti hipotesis, perancangan, eksperimen, analisis dan kesimpulan.","A scientific investigation begins by identifying a problem, followed by a hypothesis, planning, experiment, analysis and conclusion.",,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-6-penyiasatan,1.6 Langkah-langkah dalam Penyiasatan Saintifik,fact,"Pemboleh ubah dimanipulasikan diubah, pemboleh ubah bergerak balas diukur dan pemboleh ubah dimalarkan dikekalkan.","The manipulated variable is changed, the responding variable is measured and controlled variables are kept constant.",,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-6-penyiasatan,1.6 Langkah-langkah dalam Penyiasatan Saintifik,fact,Data perlu direkod dengan jelas dan kesimpulan mesti disokong oleh bukti.,Data must be recorded clearly and a conclusion must be supported by evidence.,,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-6-penyiasatan,1.6 Langkah-langkah dalam Penyiasatan Saintifik,person,Perintis kaedah eksperimen dan optik.,Pioneer of experimental methods and optics.,,,,,,Ibn al-Haytham,Saintis / Scientist
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-6-penyiasatan,1.6 Langkah-langkah dalam Penyiasatan Saintifik,multiple_choice,"Dalam eksperimen, pemboleh ubah yang diukur ialah / In an experiment, the variable that is measured is the",,pemboleh ubah bergerak balas / responding variable,pemboleh ubah dimalarkan / controlled variable,hipotesis / hypothesis,inferens / inference,pemboleh ubah bergerak balas / responding variable,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-6-penyiasatan,1.6 Langkah-langkah dalam Penyiasatan Saintifik,objective,Apakah fungsi hipotesis? / What is the function of a hypothesis?,,,,,,Memberi hubungan atau jawapan sementara yang boleh diuji. / It gives a testable tentative relationship or answer.,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-7-sikap-saintifik,1.7 Sikap Saintifik dan Nilai Murni dalam Menjalankan Penyiasatan Saintifik,summary,"Sikap saintifik termasuk jujur, teliti, objektif, ingin tahu dan bekerjasama.","Scientific attitudes include honesty, carefulness, objectivity, curiosity and cooperation.",,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-7-sikap-saintifik,1.7 Sikap Saintifik dan Nilai Murni dalam Menjalankan Penyiasatan Saintifik,fact,Nilai murni ditunjukkan dengan merekod data sebenar walaupun keputusan tidak menepati jangkaan.,Good values are shown by recording actual data even when results do not match expectations.,,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-7-sikap-saintifik,1.7 Sikap Saintifik dan Nilai Murni dalam Menjalankan Penyiasatan Saintifik,fact,"Pengendalian bahan dan radas secara bertanggungjawab melindungi diri, orang lain dan alam sekitar.","Responsible handling of materials and apparatus protects oneself, others and the environment.",,,,,,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-7-sikap-saintifik,1.7 Sikap Saintifik dan Nilai Murni dalam Menjalankan Penyiasatan Saintifik,person,Perintis kaedah eksperimen dan optik.,Pioneer of experimental methods and optics.,,,,,,Ibn al-Haytham,Saintis / Scientist
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-7-sikap-saintifik,1.7 Sikap Saintifik dan Nilai Murni dalam Menjalankan Penyiasatan Saintifik,multiple_choice,Tindakan manakah menunjukkan sikap saintifik? / Which action shows a scientific attitude?,,Merekod semua data dengan jujur / Recording all data honestly,Mengubah data supaya hipotesis benar / Changing data so the hypothesis is true,Membuang bahan tanpa arahan / Disposing materials without instruction,Menolak pandangan kumpulan / Rejecting group views,Merekod semua data dengan jujur / Recording all data honestly,,
bab1,Bab 1: Pengenalan kepada Penyiasatan Saintifik / Chapter 1: Introduction to Scientific Investigation,1-7-sikap-saintifik,1.7 Sikap Saintifik dan Nilai Murni dalam Menjalankan Penyiasatan Saintifik,objective,Mengapakah data tidak boleh diubah? / Why must data not be altered?,,,,,,Data perlu jujur supaya kesimpulan sah dan boleh dipercayai. / Data must be honest so that conclusions are valid and reliable.,,
bab2,Bab 2: Sel sebagai Unit Asas Hidupan / Chapter 2: Cells as the Basic Unit of Life,2-1-sel,"2.1 Sel – Struktur, Fungsi dan Organisasi",summary,Sel ialah unit asas struktur dan fungsi bagi semua benda hidup.,A cell is the basic structural and functional unit of all living things.,,,,,,,
bab2,Bab 2: Sel sebagai Unit Asas Hidupan / Chapter 2: Cells as the Basic Unit of Life,2-1-sel,"2.1 Sel – Struktur, Fungsi dan Organisasi",fact,"Sel haiwan dan sel tumbuhan mempunyai membran sel, sitoplasma dan nukleus; sel tumbuhan juga mempunyai dinding sel, kloroplas dan vakuol besar.","Animal and plant cells have a cell membrane, cytoplasm and nucleus; plant cells also have a cell wall, chloroplasts and a large vacuole.",,,,,,,
bab2,Bab 2: Sel sebagai Unit Asas Hidupan / Chapter 2: Cells as the Basic Unit of Life,2-1-sel,"2.1 Sel – Struktur, Fungsi dan Organisasi",fact,"Sel membentuk tisu, tisu membentuk organ, organ membentuk sistem dan sistem membentuk organisma.","Cells form tissues, tissues form organs, organs form systems and systems form organisms.",,,,,,,
bab2,Bab 2: Sel sebagai Unit Asas Hidupan / Chapter 2: Cells as the Basic Unit of Life,2-1-sel,"2.1 Sel – Struktur, Fungsi dan Organisasi",person,Memerhati ruang kecil dalam gabus dan menamakannya sel pada tahun 1665.,Observed tiny compartments in cork and named them cells in 1665.,,,,,,Robert Hooke,Saintis / Scientist
bab2,Bab 2: Sel sebagai Unit Asas Hidupan / Chapter 2: Cells as the Basic Unit of Life,2-1-sel,"2.1 Sel – Struktur, Fungsi dan Organisasi",multiple_choice,Struktur yang menjalankan fotosintesis ialah / The structure that carries out photosynthesis is the,,kloroplas / chloroplast,nukleus / nucleus,membran sel / cell membrane,sitoplasma / cytoplasm,kloroplas / chloroplast,,
bab2,Bab 2: Sel sebagai Unit Asas Hidupan / Chapter 2: Cells as the Basic Unit of Life,2-1-sel,"2.1 Sel – Struktur, Fungsi dan Organisasi",objective,Susun aras organisasi daripada sel hingga organisma. / Arrange levels of organisation from cell to organism.,,,,,,Sel → tisu → organ → sistem → organisma. / Cell → tissue → organ → system → organism.,,
