chapter_id,chapter,topic_id,topic,type,text,text_en,choice_a,choice_b,choice_c,choice_d,answer,person_name,person_role
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-1-integer,1.1 Integer | 1.1 Integers,summary,"Integer ialah nombor bulat yang mempunyai tanda positif atau negatif, termasuk sifar.","Integers are whole numbers with positive or negative signs, including zero.",,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-1-integer,1.1 Integer | 1.1 Integers,fact,"Integer positif adalah nombor bulat yang lebih besar daripada sifar, manakala integer negatif kurang daripada sifar.","Positive integers are whole numbers greater than zero, while negative integers are less than zero.",,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-1-integer,1.1 Integer | 1.1 Integers,fact,Sifar bukan integer positif mahupun integer negatif.,Zero is neither a positive nor a negative integer.,,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-1-integer,1.1 Integer | 1.1 Integers,person,Membangunkan konsep formal untuk integer negatif dan nombor sifar dalam aritmetik.,Developed formal concepts for negative integers and zero in arithmetic.,,,,,,Brahmagupta,Ahli Matematik / Mathematician
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-1-integer,1.1 Integer | 1.1 Integers,multiple_choice,"Antara berikut, yang manakah merupakan integer? / Which of the following is an integer?",,-5,0.5,1/2,3.14,Jawapan / Answer: -5. Cara / Method: Kenal pasti tanda dan kedudukan nombor pada garis nombor; nombor lebih ke kiri ialah lebih kecil. / Identify the signs and positions on a number line; a number farther left is smaller. Oleh itu / Therefore: -5.,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-1-integer,1.1 Integer | 1.1 Integers,multiple_choice,"Antara nombor berikut, yang manakah mempunyai nilai terkecil? / Which of the following numbers has the smallest value?",,-12,-8,0,3,Jawapan / Answer: -12. Cara / Method: Kenal pasti tanda dan kedudukan nombor pada garis nombor; nombor lebih ke kiri ialah lebih kecil. / Identify the signs and positions on a number line; a number farther left is smaller. Oleh itu / Therefore: -12.,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-1-integer,1.1 Integer | 1.1 Integers,multiple_choice,"Susun integer berikut mengikut tertib menaik: -4, 2, -9, 0, 5. / Arrange the following integers in ascending order: -4, 2, -9, 0, 5.",,"-9, -4, 0, 2, 5","5, 2, 0, -4, -9","-4, -9, 0, 2, 5","0, -4, 2, 5, -9","Jawapan / Answer: -9, -4, 0, 2, 5. Cara / Method: Kenal pasti tanda dan kedudukan nombor pada garis nombor; nombor lebih ke kiri ialah lebih kecil. / Identify the signs and positions on a number line; a number farther left is smaller. Oleh itu / Therefore: -9, -4, 0, 2, 5.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-1-integer,1.1 Integer | 1.1 Integers,multiple_choice,"Antara nombor berikut, yang manakah BUKAN integer? / Which of the following numbers is NOT an integer?",,-15,0,4.2,100,Jawapan / Answer: 4.2. Cara / Method: Kenal pasti tanda dan kedudukan nombor pada garis nombor; nombor lebih ke kiri ialah lebih kecil. / Identify the signs and positions on a number line; a number farther left is smaller. Oleh itu / Therefore: 4.2.,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-1-integer,1.1 Integer | 1.1 Integers,multiple_choice,"Antara penyataan berikut, yang manakah BENAR? / Which of the following statements is TRUE?",,-10 > -2,-5 < -8,-3 > -7,0 < -1,Jawapan / Answer: -3 > -7. Cara / Method: Kenal pasti tanda dan kedudukan nombor pada garis nombor; nombor lebih ke kiri ialah lebih kecil. / Identify the signs and positions on a number line; a number farther left is smaller. Oleh itu / Therefore: -3 > -7.,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-1-integer,1.1 Integer | 1.1 Integers,objective,Cari nilai bagi -8 + 3. / Find the value of -8 + 3.,,,,,,Jawapan / Answer: -5. Cara / Method: Kenal pasti tanda dan kedudukan nombor pada garis nombor; nombor lebih ke kiri ialah lebih kecil. / Identify the signs and positions on a number line; a number farther left is smaller. Oleh itu / Therefore: -5.,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-1-integer,1.1 Integer | 1.1 Integers,objective,Tuliskan integer yang mewakili penurunan suhu sebanyak 6°C. / Write the integer representing a temperature drop of 6°C.,,,,,,Jawapan / Answer: -6. Cara / Method: Kenal pasti tanda dan kedudukan nombor pada garis nombor; nombor lebih ke kiri ialah lebih kecil. / Identify the signs and positions on a number line; a number farther left is smaller. Oleh itu / Therefore: -6.,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-2-operasi-asas-aritmetik,1.2 Operasi Asas Aritmetik yang Melibatkan Integer | 1.2 Basic Arithmetic Operations Involving Integers,summary,"Operasi penambahan, penolakan, pendaraban, dan pembahagian integer mengikut hukum operasi aritmetik (BODMAS).","Addition, subtraction, multiplication, and division of integers follow basic arithmetic order rules (BODMAS).",,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-2-operasi-asas-aritmetik,1.2 Operasi Asas Aritmetik yang Melibatkan Integer | 1.2 Basic Arithmetic Operations Involving Integers,fact,Pendaraban atau pembahagian dua nombor bertanda sama menghasilkan nilai positif.,Multiplication or division of two numbers with the same sign yields a positive value.,,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-2-operasi-asas-aritmetik,1.2 Operasi Asas Aritmetik yang Melibatkan Integer | 1.2 Basic Arithmetic Operations Involving Integers,fact,Pendaraban atau pembahagian dua nombor bertanda berbeza menghasilkan nilai negatif.,Multiplication or division of two numbers with different signs yields a negative value.,,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-2-operasi-asas-aritmetik,1.2 Operasi Asas Aritmetik yang Melibatkan Integer | 1.2 Basic Arithmetic Operations Involving Integers,person,Merumuskan tatacara pengiraan melibatkan nombor positif dan negatif.,Formulated computational procedures involving positive and negative numbers.,,,,,,Brahmagupta,Ahli Matematik / Mathematician
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-2-operasi-asas-aritmetik,1.2 Operasi Asas Aritmetik yang Melibatkan Integer | 1.2 Basic Arithmetic Operations Involving Integers,multiple_choice,Hitung (-4) × (-3). / Calculate (-4) × (-3).,,12,-12,7,-7,"Jawapan / Answer: 12. Cara / Method: Ikut BODMAS dan peraturan tanda integer, kemudian kira langkah demi langkah. / Follow BODMAS and the integer sign rules, then calculate step by step. Oleh itu / Therefore: 12.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-2-operasi-asas-aritmetik,1.2 Operasi Asas Aritmetik yang Melibatkan Integer | 1.2 Basic Arithmetic Operations Involving Integers,multiple_choice,Nilaikan (-18) ÷ 3 + 4. / Evaluate (-18) ÷ 3 + 4.,,-2,2,-10,10,"Jawapan / Answer: -2. Cara / Method: Ikut BODMAS dan peraturan tanda integer, kemudian kira langkah demi langkah. / Follow BODMAS and the integer sign rules, then calculate step by step. Oleh itu / Therefore: -2.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-2-operasi-asas-aritmetik,1.2 Operasi Asas Aritmetik yang Melibatkan Integer | 1.2 Basic Arithmetic Operations Involving Integers,multiple_choice,Hitung 5 - (-8) + (-3). / Calculate 5 - (-8) + (-3).,,10,-6,0,16,"Jawapan / Answer: 10. Cara / Method: Ikut BODMAS dan peraturan tanda integer, kemudian kira langkah demi langkah. / Follow BODMAS and the integer sign rules, then calculate step by step. Oleh itu / Therefore: 10.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-2-operasi-asas-aritmetik,1.2 Operasi Asas Aritmetik yang Melibatkan Integer | 1.2 Basic Arithmetic Operations Involving Integers,multiple_choice,"Antara berikut, yang manakah memberikan hasil terbesar? / Which of the following gives the largest result?",,(-2) × (-5),(-10) ÷ 2,(-3) + (-4),4 - (-2),"Jawapan / Answer: (-2) × (-5). Cara / Method: Ikut BODMAS dan peraturan tanda integer, kemudian kira langkah demi langkah. / Follow BODMAS and the integer sign rules, then calculate step by step. Oleh itu / Therefore: (-2) × (-5).",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-2-operasi-asas-aritmetik,1.2 Operasi Asas Aritmetik yang Melibatkan Integer | 1.2 Basic Arithmetic Operations Involving Integers,multiple_choice,Hitung 12 + (-5) × 2. / Calculate 12 + (-5) × 2.,,2,14,-2,22,"Jawapan / Answer: 2. Cara / Method: Ikut BODMAS dan peraturan tanda integer, kemudian kira langkah demi langkah. / Follow BODMAS and the integer sign rules, then calculate step by step. Oleh itu / Therefore: 2.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-2-operasi-asas-aritmetik,1.2 Operasi Asas Aritmetik yang Melibatkan Integer | 1.2 Basic Arithmetic Operations Involving Integers,objective,Selesaikan (-20) ÷ (-4) - 7. / Solve (-20) ÷ (-4) - 7.,,,,,,"Jawapan / Answer: -2. Cara / Method: Ikut BODMAS dan peraturan tanda integer, kemudian kira langkah demi langkah. / Follow BODMAS and the integer sign rules, then calculate step by step. Oleh itu / Therefore: -2.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-2-operasi-asas-aritmetik,1.2 Operasi Asas Aritmetik yang Melibatkan Integer | 1.2 Basic Arithmetic Operations Involving Integers,objective,Nilaikan 8 + (-3) × 4. / Evaluate 8 + (-3) × 4.,,,,,,"Jawapan / Answer: -4. Cara / Method: Ikut BODMAS dan peraturan tanda integer, kemudian kira langkah demi langkah. / Follow BODMAS and the integer sign rules, then calculate step by step. Oleh itu / Therefore: -4.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-3-pecahan-positif-dan-negatif,1.3 Pecahan Positif dan Pecahan Negatif | 1.3 Positive and Negative Fractions,summary,Pecahan positif dan negatif diwakilkan pada garis nombor dan nilainya boleh dibandingkan serta dihitung.,"Positive and negative fractions are represented on a number line, compared, and calculated.",,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-3-pecahan-positif-dan-negatif,1.3 Pecahan Positif dan Pecahan Negatif | 1.3 Positive and Negative Fractions,fact,"Pecahan positif terletak di sebelah kanan sifar, manakala pecahan negatif di sebelah kiri sifar.","Positive fractions lie to the right of zero, while negative fractions lie to the left of zero.",,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-3-pecahan-positif-dan-negatif,1.3 Pecahan Positif dan Pecahan Negatif | 1.3 Positive and Negative Fractions,fact,Penyebut sepunya diperlukan untuk menambah atau menolak pecahan.,A common denominator is required to add or subtract fractions.,,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-3-pecahan-positif-dan-negatif,1.3 Pecahan Positif dan Pecahan Negatif | 1.3 Positive and Negative Fractions,person,Menggunakan pecahan unit dalam sistem matematik kuno.,Used unit fractions in ancient mathematical systems.,,,,,,Ahmes,Juru Tulis Mesir / Egyptian Scribe
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-3-pecahan-positif-dan-negatif,1.3 Pecahan Positif dan Pecahan Negatif | 1.3 Positive and Negative Fractions,multiple_choice,"Antara pecahan berikut, yang manakah nilai terkecil? / Which of the following fractions has the smallest value?",,-3/4,-1/4,1/4,3/4,"Jawapan / Answer: -3/4. Cara / Method: Samakan penyebut jika perlu, gunakan peraturan tanda, kemudian ringkaskan pecahan. / Use a common denominator if needed, apply sign rules, then simplify the fraction. Oleh itu / Therefore: -3/4.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-3-pecahan-positif-dan-negatif,1.3 Pecahan Positif dan Pecahan Negatif | 1.3 Positive and Negative Fractions,multiple_choice,Hitung (-1/2) + (3/4). / Calculate (-1/2) + (3/4).,,1/4,-1/4,1/2,-1/2,"Jawapan / Answer: 1/4. Cara / Method: Samakan penyebut jika perlu, gunakan peraturan tanda, kemudian ringkaskan pecahan. / Use a common denominator if needed, apply sign rules, then simplify the fraction. Oleh itu / Therefore: 1/4.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-3-pecahan-positif-dan-negatif,1.3 Pecahan Positif dan Pecahan Negatif | 1.3 Positive and Negative Fractions,multiple_choice,Nilaikan (-2/3) × (9/10). / Evaluate (-2/3) × (9/10).,,-3/5,3/5,-18/30,2/5,"Jawapan / Answer: -3/5. Cara / Method: Samakan penyebut jika perlu, gunakan peraturan tanda, kemudian ringkaskan pecahan. / Use a common denominator if needed, apply sign rules, then simplify the fraction. Oleh itu / Therefore: -3/5.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-3-pecahan-positif-dan-negatif,1.3 Pecahan Positif dan Pecahan Negatif | 1.3 Positive and Negative Fractions,multiple_choice,Cari hasil bahagi (-3/5) ÷ (2/5). / Find the quotient of (-3/5) ÷ (2/5).,,-3/2,3/2,-6/25,6/25,"Jawapan / Answer: -3/2. Cara / Method: Samakan penyebut jika perlu, gunakan peraturan tanda, kemudian ringkaskan pecahan. / Use a common denominator if needed, apply sign rules, then simplify the fraction. Oleh itu / Therefore: -3/2.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-3-pecahan-positif-dan-negatif,1.3 Pecahan Positif dan Pecahan Negatif | 1.3 Positive and Negative Fractions,multiple_choice,"Susun pecahan mengikut tertib menaik: -1/2, 1/4, -3/4. / Arrange fractions in ascending order: -1/2, 1/4, -3/4.",,"-3/4, -1/2, 1/4","1/4, -1/2, -3/4","-1/2, -3/4, 1/4","-3/4, 1/4, -1/2","Jawapan / Answer: -3/4, -1/2, 1/4. Cara / Method: Samakan penyebut jika perlu, gunakan peraturan tanda, kemudian ringkaskan pecahan. / Use a common denominator if needed, apply sign rules, then simplify the fraction. Oleh itu / Therefore: -3/4, -1/2, 1/4.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-3-pecahan-positif-dan-negatif,1.3 Pecahan Positif dan Pecahan Negatif | 1.3 Positive and Negative Fractions,objective,Hitung (-5/6) - (-1/3). / Calculate (-5/6) - (-1/3).,,,,,,"Jawapan / Answer: -1/2. Cara / Method: Samakan penyebut jika perlu, gunakan peraturan tanda, kemudian ringkaskan pecahan. / Use a common denominator if needed, apply sign rules, then simplify the fraction. Oleh itu / Therefore: -1/2.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-3-pecahan-positif-dan-negatif,1.3 Pecahan Positif dan Pecahan Negatif | 1.3 Positive and Negative Fractions,objective,Nilaikan 2/5 + (-7/10). / Evaluate 2/5 + (-7/10).,,,,,,"Jawapan / Answer: -3/10. Cara / Method: Samakan penyebut jika perlu, gunakan peraturan tanda, kemudian ringkaskan pecahan. / Use a common denominator if needed, apply sign rules, then simplify the fraction. Oleh itu / Therefore: -3/10.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-4-perpuluhan-positif-dan-negatif,1.4 Perpuluhan Positif dan Perpuluhan Negatif | 1.4 Positive and Negative Decimals,summary,Perpuluhan positif dan negatif diwakilkan pada garis nombor dan dikira mengikut tertib operasi.,Positive and negative decimals are represented on a number line and calculated following order of operations.,,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-4-perpuluhan-positif-dan-negatif,1.4 Perpuluhan Positif dan Perpuluhan Negatif | 1.4 Positive and Negative Decimals,fact,Perpuluhan negatif semakin kecil nilainya apabila digitnya jauh dari sifar.,Negative decimals decrease in value as their digits move further from zero.,,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-4-perpuluhan-positif-dan-negatif,1.4 Perpuluhan Positif dan Perpuluhan Negatif | 1.4 Positive and Negative Decimals,fact,Pendaraban perpuluhan memerlukan pengiraan jumlah tempat perpuluhan.,Multiplication of decimals requires counting total decimal places.,,,,,,,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-4-perpuluhan-positif-dan-negatif,1.4 Perpuluhan Positif dan Perpuluhan Negatif | 1.4 Positive and Negative Decimals,person,Memperkenalkan sistem perpuluhan moden dan penggunaan titik perpuluhan.,Introduced modern decimal system and decimal point usage.,,,,,,John Napier,Ahli Matematik / Mathematician
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-4-perpuluhan-positif-dan-negatif,1.4 Perpuluhan Positif dan Perpuluhan Negatif | 1.4 Positive and Negative Decimals,multiple_choice,Hitung -2.5 + 1.2. / Calculate -2.5 + 1.2.,,-1.3,1.3,-3.7,3.7,"Jawapan / Answer: -1.3. Cara / Method: Susun titik perpuluhan, gunakan peraturan tanda dan kira dengan teliti. / Align decimal points, apply sign rules and calculate carefully. Oleh itu / Therefore: -1.3.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-4-perpuluhan-positif-dan-negatif,1.4 Perpuluhan Positif dan Perpuluhan Negatif | 1.4 Positive and Negative Decimals,multiple_choice,Nilaikan (-0.4) × 0.5. / Evaluate (-0.4) × 0.5.,,-0.2,0.2,-2.0,0.02,"Jawapan / Answer: -0.2. Cara / Method: Susun titik perpuluhan, gunakan peraturan tanda dan kira dengan teliti. / Align decimal points, apply sign rules and calculate carefully. Oleh itu / Therefore: -0.2.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-4-perpuluhan-positif-dan-negatif,1.4 Perpuluhan Positif dan Perpuluhan Negatif | 1.4 Positive and Negative Decimals,multiple_choice,Hitung -3.6 ÷ (-0.9). / Calculate -3.6 ÷ (-0.9).,,4,-4,0.4,-0.4,"Jawapan / Answer: 4. Cara / Method: Susun titik perpuluhan, gunakan peraturan tanda dan kira dengan teliti. / Align decimal points, apply sign rules and calculate carefully. Oleh itu / Therefore: 4.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-4-perpuluhan-positif-dan-negatif,1.4 Perpuluhan Positif dan Perpuluhan Negatif | 1.4 Positive and Negative Decimals,multiple_choice,"Antara perpuluhan berikut, yang manakah terkecil? / Which of the following decimals is the smallest?",,-4.05,-4.5,-4.15,-4.01,"Jawapan / Answer: -4.5. Cara / Method: Susun titik perpuluhan, gunakan peraturan tanda dan kira dengan teliti. / Align decimal points, apply sign rules and calculate carefully. Oleh itu / Therefore: -4.5.",,
bab1,Bab 1: Nombor Nisbah | Chapter 1: Rational Numbers,1-4-perpuluhan-positif-dan-negatif,1.4 Perpuluhan Positif dan Perpuluhan Negatif | 1.4 Positive and Negative Decimals,multiple_choice,Hitung 5.4 - (-2.1) + (-1.5). / Calculate 5.4 - (-2.1) + (-1.5).,,6.0,4.8,9.0,1.8,"Jawapan / Answer: 6.0. Cara / Method: Susun titik perpuluhan, gunakan peraturan tanda dan kira dengan teliti. / Align decimal points, apply sign rules and calculate carefully. Oleh itu / Therefore: 6.0.",,
